Date,Time,value
09-Nov-16,16:00:00,1.29
10-Nov-16,08:00:00,1.28
10-Nov-16,16:00:00,1.28
11-Nov-16,08:00:00,1.27
11-Nov-16,16:00:00,1.27
12-Nov-16,08:00:00,1.27
12-Nov-16,16:00:00,1.28
13-Nov-16,08:00:00,1.28
13-Nov-16,16:00:00,1.29
14-Nov-16,08:00:00,1.29
14-Nov-16,16:00:00,1.29
15-Nov-16,08:00:00,1.29
15-Nov-16,16:00:00,1.3
16-Nov-16,08:00:00,1.3
16-Nov-16,16:00:00,1.3
17-Nov-16,08:00:00,1.31
17-Nov-16,16:00:00,1.31
18-Nov-16,08:00:00,1.31
18-Nov-16,16:00:00,1.32
19-Nov-16,08:00:00,1.32
19-Nov-16,16:00:00,1.33
20-Nov-16,08:00:00,1.33
20-Nov-16,16:00:00,1.32
21-Nov-16,08:00:00,1.33
21-Nov-16,16:00:00,1.32
22-Nov-16,08:00:00,1.31
22-Nov-16,16:00:00,1.31
23-Nov-16,08:00:00,1.31
23-Nov-16,16:00:00,1.3
24-Nov-16,08:00:00,1.3
24-Nov-16,16:00:00,1.31
25-Nov-16,08:00:00,1.31
25-Nov-16,16:00:00,1.32
26-Nov-16,08:00:00,1.32
26-Nov-16,16:00:00,1.32
27-Nov-16,08:00:00,1.33
27-Nov-16,16:00:00,1.33
28-Nov-16,08:00:00,1.34
28-Nov-16,16:00:00,1.34
29-Nov-16,08:00:00,1.34
29-Nov-16,16:00:00,1.34
30-Nov-16,08:00:00,1.34
30-Nov-16,16:00:00,1.34
01-Dec-16,08:00:00,1.34
01-Dec-16,16:00:00,1.34
02-Dec-16,08:00:00,1.33
02-Dec-16,16:00:00,1.3
03-Dec-16,08:00:00,1.33
03-Dec-16,16:00:00,1.32
04-Dec-16,08:00:00,1.32
04-Dec-16,16:00:00,1.32
05-Dec-16,08:00:00,1.32
05-Dec-16,16:00:00,1.32
06-Dec-16,08:00:00,1.31
06-Dec-16,16:00:00,1.31
07-Dec-16,08:00:00,1.3
07-Dec-16,16:00:00,1.3
08-Dec-16,08:00:00,1.3
08-Dec-16,16:00:00,1.3
09-Dec-16,08:00:00,1.3
09-Dec-16,16:00:00,1.3
10-Dec-16,08:00:00,1.3
10-Dec-16,16:00:00,1.29
11-Dec-16,08:00:00,1.29
11-Dec-16,16:00:00,1.29
12-Dec-16,08:00:00,1.29
12-Dec-16,16:00:00,1.29
13-Dec-16,08:00:00,1.29
13-Dec-16,16:00:00,1.29
14-Dec-16,08:00:00,1.29
14-Dec-16,16:00:00,1.29
15-Dec-16,08:00:00,1.28
15-Dec-16,16:00:00,1.28
16-Dec-16,08:00:00,1.28
16-Dec-16,16:00:00,1.28
17-Dec-16,08:00:00,1.27
17-Dec-16,16:00:00,1.27
18-Dec-16,08:00:00,1.27
18-Dec-16,16:00:00,1.26
19-Dec-16,08:00:00,1.25
19-Dec-16,16:00:00,1.25
20-Dec-16,08:00:00,1.25
20-Dec-16,16:00:00,1.25
21-Dec-16,08:00:00,1.25
21-Dec-16,16:00:00,1.25
22-Dec-16,08:00:00,1.24
22-Dec-16,16:00:00,1.24
23-Dec-16,08:00:00,1.24
23-Dec-16,16:00:00,1.24
24-Dec-16,08:00:00,1.24
24-Dec-16,16:00:00,1.24
25-Dec-16,08:00:00,1.23
25-Dec-16,16:00:00,1.23
26-Dec-16,08:00:00,1.23
26-Dec-16,16:00:00,1.23
27-Dec-16,08:00:00,1.23
27-Dec-16,16:00:00,1.23
28-Dec-16,08:00:00,1.23
28-Dec-16,16:00:00,1.23
29-Dec-16,08:00:00,1.23
29-Dec-16,16:00:00,1.24
30-Dec-16,08:00:00,1.24
30-Dec-16,16:00:00,1.24
31-Dec-16,08:00:00,1.24
31-Dec-16,16:00:00,1.24
01-Jan-17,08:00:00,1.22
01-Jan-17,16:00:00,1.22
02-Jan-17,08:00:00,1.22
02-Jan-17,16:00:00,1.22
03-Jan-17,08:00:00,1.22
03-Jan-17,16:00:00,1.22
04-Jan-17,08:00:00,1.22
04-Jan-17,16:00:00,1.21
05-Jan-17,08:00:00,1.21
05-Jan-17,16:00:00,1.21
06-Jan-17,08:00:00,1.21
06-Jan-17,16:00:00,1.21
07-Jan-17,08:00:00,1.21
07-Jan-17,16:00:00,1.21
08-Jan-17,08:00:00,1.21
08-Jan-17,16:00:00,1.2
09-Jan-17,08:00:00,1.2
09-Jan-17,16:00:00,1.2
10-Jan-17,08:00:00,1.2
10-Jan-17,16:00:00,1.2
11-Jan-17,08:00:00,1.19
11-Jan-17,16:00:00,1.19
12-Jan-17,08:00:00,1.19
12-Jan-17,16:00:00,1.19
13-Jan-17,08:00:00,1.19
13-Jan-17,16:00:00,1.19
14-Jan-17,08:00:00,1.19
14-Jan-17,16:00:00,1.19
15-Jan-17,08:00:00,1.19
15-Jan-17,16:00:00,1.18
16-Jan-17,08:00:00,1.18
16-Jan-17,16:00:00,1.18
17-Jan-17,08:00:00,1.18
17-Jan-17,16:00:00,1.18
18-Jan-17,08:00:00,1.18
18-Jan-17,16:00:00,1.18
19-Jan-17,08:00:00,1.18
19-Jan-17,16:00:00,1.18
20-Jan-17,08:00:00,1.18
20-Jan-17,16:00:00,1.17
21-Jan-17,08:00:00,1.17
21-Jan-17,16:00:00,1.17
22-Jan-17,08:00:00,1.18
22-Jan-17,16:00:00,1.18
23-Jan-17,08:00:00,1.18
23-Jan-17,16:00:00,1.18
24-Jan-17,08:00:00,1.19
24-Jan-17,16:00:00,1.19
25-Jan-17,08:00:00,1.18
25-Jan-17,16:00:00,1.18
